id,app_id,ccu,collected_at
8294,1085510,16,2026-05-24 17:35:28.606214
8295,1085660,18310,2026-05-24 17:35:29.904007
8296,1086640,1,2026-05-24 17:35:31.209693
8297,1086940,65564,2026-05-24 17:35:32.427861
8298,1088090,322,2026-05-24 17:35:33.653665
8299,1088150,77,2026-05-24 17:35:34.978497
8300,1088710,62,2026-05-24 17:35:36.224634
8301,1088790,170,2026-05-24 17:35:37.533802
8302,1088850,194,2026-05-24 17:35:38.757250
8303,1089090,301,2026-05-24 17:35:39.982475
8304,1089130,9,2026-05-24 17:35:41.291971
8305,1089350,90,2026-05-24 17:35:42.523130
8306,1089980,170,2026-05-24 17:35:43.778411
8307,1091500,29070,2026-05-24 17:35:45.103735
8308,1092660,16,2026-05-24 17:35:46.523083
8309,1092700,25,2026-05-24 17:35:47.829207
8310,1092710,40,2026-05-24 17:35:49.139219
8311,1092730,21,2026-05-24 17:35:50.462034
8312,1092790,1083,2026-05-24 17:35:51.791353
8313,1093910,3,2026-05-24 17:35:53.089199
8314,1094030,3,2026-05-24 17:35:54.378010
8315,1094520,42,2026-05-24 17:35:55.603381
8316,1094710,0,2026-05-24 17:35:56.900736
8317,1094780,189,2026-05-24 17:35:58.128080
8318,1096200,3,2026-05-24 17:35:59.426823
8319,1096530,736,2026-05-24 17:36:00.642291
8320,1096570,9,2026-05-24 17:36:01.959802
8321,1096710,53,2026-05-24 17:36:03.274046
8322,1096900,957,2026-05-24 17:36:04.635499
8323,1097130,13,2026-05-24 17:36:06.086823
8324,1097150,740,2026-05-24 17:36:07.390298
8325,1097200,45,2026-05-24 17:36:08.708494
8326,1097350,24,2026-05-24 17:36:10.020785
8327,1097420,9,2026-05-24 17:36:11.235157
8328,1097430,213,2026-05-24 17:36:12.482451
8329,1097840,382,2026-05-24 17:36:13.779530
8330,1098292,0,2026-05-24 17:36:15.075903
8331,1098293,0,2026-05-24 17:36:16.444119
8332,1098540,0,2026-05-24 17:36:17.746298
8333,1100260,7,2026-05-24 17:36:19.050867
