id,app_id,owners_min,owners_max,average_playtime,median_playtime,peak_ccu,collected_at
1235,297020,200000,500000,0,0,1,2026-05-23 21:12:23.950524
1236,297130,500000,1000000,0,0,23,2026-05-23 21:12:25.788116
1237,298030,200000,500000,0,0,90,2026-05-23 21:12:27.691972
1238,298050,500000,1000000,0,0,305,2026-05-23 21:12:29.543751
1239,298110,2000000,5000000,0,0,558,2026-05-23 21:12:31.384255
1240,298160,500000,1000000,0,0,15,2026-05-23 21:12:33.278494
1241,298180,500000,1000000,0,0,2,2026-05-23 21:12:35.136415
1242,298240,500000,1000000,0,0,9,2026-05-23 21:12:36.987956
1243,298260,500000,1000000,0,0,2,2026-05-23 21:12:38.831335
1244,298520,200000,500000,0,0,0,2026-05-23 21:12:40.657813
1245,298600,200000,500000,0,0,1,2026-05-23 21:12:42.501577
1246,298610,200000,500000,0,0,77,2026-05-23 21:12:44.345291
1247,298630,500000,1000000,0,0,45,2026-05-23 21:12:46.188623
1248,299260,200000,500000,0,0,0,2026-05-23 21:12:49.865758
1249,299360,2000000,5000000,0,0,4,2026-05-23 21:12:51.706360
1250,299460,1000000,2000000,0,0,3,2026-05-23 21:12:53.549004
1251,299480,200000,500000,0,0,0,2026-05-23 21:12:55.400741
1252,299740,200000,500000,0,0,37,2026-05-23 21:12:57.242617
1253,300040,500000,1000000,0,0,0,2026-05-23 21:12:59.083520
1254,300080,500000,1000000,0,0,3,2026-05-23 21:13:00.919428
1255,300380,1000000,2000000,0,0,21,2026-05-23 21:13:02.764615
1256,300550,500000,1000000,0,0,33,2026-05-23 21:13:04.725459
1257,300570,200000,500000,0,0,7,2026-05-23 21:13:06.576057
1258,300580,200000,500000,0,0,1,2026-05-23 21:13:08.414167
1259,300970,200000,500000,0,0,34,2026-05-23 21:13:10.267514
1260,301120,200000,500000,0,0,108,2026-05-23 21:13:12.107542
1261,301200,200000,500000,0,0,1,2026-05-23 21:13:14.056327
1262,301520,5000000,10000000,0,0,3,2026-05-23 21:13:16.016131
1263,301640,1000000,2000000,0,0,91,2026-05-23 21:13:17.889087
1264,301750,1000000,2000000,0,0,8,2026-05-23 21:13:19.731446
1265,301860,200000,500000,0,0,1,2026-05-23 21:13:21.654746
1266,301910,500000,1000000,0,0,10,2026-05-23 21:13:23.588855
1267,301970,500000,1000000,0,0,2,2026-05-23 21:13:25.468664
1268,302080,200000,500000,0,0,4,2026-05-23 21:13:27.307862
